fournisseur,date_commande,categorie_produit,delai_prevu,delai_reel,prix,quantite
SUP_010,2024-01-05,alimentaire,3,3.0,3.04,8.0
SUP_032,2024-01-05,alimentaire,7,8.0,2.94,10.0
SUP_070,2024-01-05,non_alimentaire,13,13.0,18.37,12.0
SUP_004,2024-01-05,non_alimentaire,7,7.0,15.05,6.0
SUP_010,2024-01-05,non_alimentaire,19,19.0,14.15,10.0
SUP_003,2024-01-05,alimentaire,7,7.0,2.9,5.0
SUP_006,2024-01-05,alimentaire,2,3.0,3.07,16.0
SUP_067,2024-01-05,alimentaire,9,9.0,3.08,41.0
SUP_059,2024-01-05,alimentaire,8,8.0,2.94,9.0
SUP_034,2024-01-05,logistique,4,5.0,8.01,9.0
SUP_030,2024-01-05,alimentaire,9,7.0,3.07,11.0
SUP_040,2024-01-05,alimentaire,5,6.0,3.06,16.0
SUP_064,2024-01-05,logistique,6,5.0,8.0,10.0
SUP_026,2024-01-05,alimentaire,9,9.0,3.05,19.0
SUP_058,2024-01-05,non_alimentaire,8,8.0,15.25,31.0
SUP_065,2024-01-05,logistique,8,7.0,8.36,11.0
SUP_069,2024-01-05,non_alimentaire,19,19.0,14.92,4.0
SUP_032,2024-01-05,alimentaire,8,9.0,3.19,12.0
SUP_038,2024-01-05,alimentaire,3,0.0,3.06,12.0
SUP_007,2024-01-05,non_alimentaire,9,9.0,14.23,34.0
SUP_061,2024-01-05,non_alimentaire,7,8.0,14.53,9.0
SUP_042,2024-01-05,alimentaire,6,4.0,3.01,8.0
SUP_061,2024-01-05,logistique,8,8.0,,14.0
SUP_067,2024-01-05,alimentaire,7,8.0,2.85,3.0
SUP_023,2024-01-05,non_alimentaire,15,15.0,14.49,6.0
SUP_017,2024-01-05,non_alimentaire,19,19.0,13.89,10.0
SUP_064,2024-01-05,alimentaire,7,7.0,2.86,9.0
SUP_068,2024-01-06,alimentaire,8,5.0,2.83,7.0
SUP_054,2024-01-06,non_alimentaire,7,7.0,13.73,8.0
SUP_063,2024-01-06,logistique,6,9.0,,15.0
SUP_018,2024-01-06,alimentaire,4,1.0,2.86,4.0
SUP_016,2024-01-06,non_alimentaire,12,12.0,14.49,4.0
SUP_059,2024-01-06,alimentaire,4,4.0,3.08,26.0
SUP_070,2024-01-06,alimentaire,7,10.0,3.18,10.0
SUP_074,2024-01-06,alimentaire,3,3.0,2.79,2.0
SUP_044,2024-01-06,alimentaire,5,5.0,2.5,11.0
SUP_004,2024-01-06,non_alimentaire,19,19.0,14.81,9.0
SUP_040,2024-01-06,logistique,14,11.0,7.13,27.0
SUP_068,2024-01-06,non_alimentaire,17,17.0,14.84,4.0
SUP_076,2024-01-06,logistique,7,7.0,9.57,6.0
SUP_054,2024-01-06,logistique,14,14.0,,13.0
SUP_016,2024-01-06,logistique,15,16.0,7.98,24.0
SUP_007,2024-01-06,non_alimentaire,12,12.0,14.8,13.0
SUP_067,2024-01-06,non_alimentaire,7,7.0,15.33,3.0
SUP_043,2024-01-06,alimentaire,9,7.0,,27.0
SUP_025,2024-01-06,logistique,8,8.0,8.34,18.0
SUP_018,2024-01-06,alimentaire,9,9.0,2.84,20.0
SUP_054,2024-01-06,alimentaire,4,8.0,3.0,8.0
SUP_023,2024-01-06,alimentaire,4,4.0,2.97,4.0
SUP_041,2024-01-06,alimentaire,4,4.0,2.83,15.0
SUP_056,2024-01-06,non_alimentaire,11,11.0,14.78,4.0
SUP_046,2024-01-06,logistique,4,5.0,8.68,6.0
SUP_062,2024-01-06,logistique,15,15.0,7.66,10.0
SUP_047,2024-01-06,non_alimentaire,16,16.0,15.17,7.0
SUP_003,2024-01-06,alimentaire,6,6.0,3.0,6.0
SUP_066,2024-01-06,logistique,15,15.0,8.04,17.0
SUP_018,2024-01-07,logistique,9,10.0,7.78,48.0
SUP_064,2024-01-07,non_alimentaire,17,18.0,14.54,15.0
SUP_016,2024-01-07,alimentaire,3,3.0,2.99,17.0
SUP_078,2024-01-07,alimentaire,2,2.0,2.95,4.0
SUP_080,2024-01-07,alimentaire,8,9.0,3.21,13.0
SUP_042,2024-01-07,alimentaire,10,10.0,3.06,3.0
SUP_064,2024-01-07,non_alimentaire,17,17.0,14.94,4.0
SUP_057,2024-01-07,logistique,4,4.0,8.16,21.0
SUP_077,2024-01-07,alimentaire,7,7.0,3.07,13.0
SUP_061,2024-01-07,logistique,3,3.0,8.18,9.0
SUP_030,2024-01-07,non_alimentaire,7,7.0,14.95,5.0
SUP_018,2024-01-07,alimentaire,10,10.0,2.98,7.0
SUP_068,2024-01-07,alimentaire,3,4.0,3.06,5.0
SUP_014,2024-01-07,non_alimentaire,14,14.0,14.94,4.0
SUP_029,2024-01-07,non_alimentaire,18,18.0,14.59,8.0
SUP_076,2024-01-07,alimentaire,7,7.0,2.85,5.0
SUP_016,2024-01-07,alimentaire,7,7.0,2.95,2.0
SUP_054,2024-01-07,non_alimentaire,12,12.0,12.6,2.0
SUP_035,2024-01-07,non_alimentaire,8,8.0,11.46,93.0
SUP_026,2024-01-07,non_alimentaire,16,17.0,13.84,6.0
SUP_064,2024-01-07,non_alimentaire,5,6.0,14.33,5.0
SUP_017,2024-01-07,alimentaire,5,5.0,3.07,12.0
SUP_018,2024-01-07,non_alimentaire,9,9.0,,7.0
SUP_046,2024-01-07,alimentaire,5,7.0,3.11,12.0
SUP_018,2024-01-07,alimentaire,8,8.0,3.08,2.0
SUP_067,2024-01-07,non_alimentaire,7,6.0,14.52,9.0
SUP_061,2024-01-07,non_alimentaire,14,14.0,14.22,4.0
SUP_039,2024-01-07,logistique,7,9.0,8.59,4.0
SUP_046,2024-01-07,logistique,6,6.0,7.04,8.0
SUP_018,2024-01-08,alimentaire,6,6.0,2.85,22.0
SUP_044,2024-01-08,non_alimentaire,15,15.0,16.04,16.0
SUP_040,2024-01-08,non_alimentaire,6,6.0,14.5,19.0
SUP_041,2024-01-08,non_alimentaire,12,12.0,15.49,9.0
SUP_017,2024-01-08,non_alimentaire,20,20.0,14.94,5.0
SUP_022,2024-01-08,non_alimentaire,20,20.0,15.58,14.0
SUP_049,2024-01-08,logistique,14,14.0,7.69,117.0
SUP_075,2024-01-08,non_alimentaire,17,20.0,,9.0
SUP_040,2024-01-08,logistique,10,10.0,8.36,4.0
SUP_051,2024-01-08,non_alimentaire,18,18.0,16.27,2.0
SUP_044,2024-01-08,logistique,3,3.0,9.86,6.0
SUP_007,2024-01-08,non_alimentaire,14,14.0,,14.0
SUP_025,2024-01-08,logistique,15,15.0,8.11,44.0
SUP_007,2024-01-08,logistique,12,12.0,7.92,16.0
SUP_071,2024-01-08,alimentaire,3,3.0,2.97,12.0
SUP_080,2024-01-08,logistique,10,10.0,7.57,29.0
SUP_060,2024-01-08,logistique,9,10.0,7.9,7.0
SUP_007,2024-01-08,non_alimentaire,13,13.0,15.08,11.0
SUP_019,2024-01-08,alimentaire,9,9.0,2.99,2.0
SUP_041,2024-01-08,alimentaire,9,9.0,3.15,10.0
SUP_066,2024-01-08,alimentaire,7,7.0,3.36,13.0
SUP_006,2024-01-08,non_alimentaire,14,14.0,15.7,61.0
SUP_065,2024-01-08,non_alimentaire,13,14.0,14.9,14.0
SUP_044,2024-01-08,non_alimentaire,15,15.0,90.17999999999999,3.0
SUP_005,2024-01-08,non_alimentaire,16,16.0,15.22,9.0
SUP_076,2024-01-08,alimentaire,3,3.0,2.83,10.0
SUP_056,2024-01-08,alimentaire,3,3.0,2.58,14.0
SUP_005,2024-01-08,alimentaire,5,6.0,2.93,5.0
SUP_008,2024-01-09,non_alimentaire,19,27.0,17.67,16.0
SUP_040,2024-01-09,alimentaire,4,6.0,2.97,1.0
SUP_013,2024-01-09,non_alimentaire,12,13.0,15.09,3.0
SUP_050,2024-01-09,non_alimentaire,15,15.0,14.44,5.0
SUP_050,2024-01-09,alimentaire,3,3.0,2.99,11.0
SUP_001,2024-01-09,alimentaire,4,4.0,2.89,1.0
SUP_051,2024-01-09,non_alimentaire,9,12.0,16.09,13.0
SUP_070,2024-01-09,non_alimentaire,11,11.0,18.96,13.0
SUP_072,2024-01-09,non_alimentaire,19,20.0,15.52,16.0
SUP_010,2024-01-09,alimentaire,2,2.0,3.06,15.0
SUP_014,2024-01-09,non_alimentaire,17,17.0,14.78,3.0
SUP_021,2024-01-09,alimentaire,6,6.0,2.91,6.0
SUP_022,2024-01-09,non_alimentaire,6,6.0,14.39,12.0
SUP_033,2024-01-09,logistique,8,5.0,7.73,16.0
SUP_053,2024-01-09,non_alimentaire,17,20.0,15.86,20.0
SUP_077,2024-01-09,alimentaire,2,2.0,3.31,15.0
SUP_044,2024-01-09,alimentaire,6,6.0,2.01,10.0
SUP_040,2024-01-09,non_alimentaire,10,10.0,15.13,12.0
SUP_056,2024-01-09,alimentaire,3,8.0,4.17,19.0
SUP_074,2024-01-09,non_alimentaire,12,14.0,13.37,11.0
SUP_031,2024-01-09,alimentaire,10,11.0,3.21,12.0
SUP_058,2024-01-09,non_alimentaire,13,13.0,15.22,5.0
SUP_067,2024-01-09,alimentaire,8,8.0,2.99,4.0
SUP_030,2024-01-09,alimentaire,2,2.0,2.93,14.0
SUP_035,2024-01-09,alimentaire,8,7.0,2.82,7.0
SUP_043,2024-01-09,non_alimentaire,9,10.0,14.9,9.0
SUP_037,2024-01-09,alimentaire,5,2.0,2.91,8.0
SUP_021,2024-01-09,alimentaire,8,8.0,2.72,16.0
SUP_002,2024-01-09,alimentaire,7,9.0,3.55,5.0
SUP_061,2024-01-10,non_alimentaire,9,9.0,13.8,4.0
SUP_060,2024-01-10,alimentaire,4,4.0,3.05,9.0
SUP_007,2024-01-10,alimentaire,9,9.0,3.06,4.0
SUP_065,2024-01-10,non_alimentaire,12,12.0,14.32,12.0
SUP_073,2024-01-10,logistique,15,15.0,8.01,18.0
SUP_072,2024-01-10,non_alimentaire,13,13.0,14.5,
SUP_056,2024-01-10,non_alimentaire,10,13.0,15.0,5.0
SUP_040,2024-01-10,non_alimentaire,12,14.0,14.07,
SUP_035,2024-01-10,alimentaire,4,10.0,3.96,18.0
SUP_061,2024-01-10,alimentaire,7,7.0,2.98,8.0
SUP_017,2024-01-10,alimentaire,10,10.0,3.12,3.0
SUP_080,2024-01-10,alimentaire,3,3.0,2.98,5.0
SUP_056,2024-01-10,non_alimentaire,10,10.0,17.81,9.0
SUP_052,2024-01-10,non_alimentaire,19,19.0,15.81,12.0
SUP_018,2024-01-10,logistique,10,10.0,8.01,10.0
SUP_021,2024-01-10,logistique,9,11.0,7.17,8.0
SUP_009,2024-01-10,non_alimentaire,5,,16.93,7.0
SUP_021,2024-01-10,alimentaire,10,10.0,2.77,3.0
SUP_005,2024-01-10,alimentaire,6,6.0,2.9,15.0
SUP_039,2024-01-10,alimentaire,2,3.0,3.46,14.0
SUP_014,2024-01-10,non_alimentaire,10,10.0,14.65,30.0
SUP_068,2024-01-10,alimentaire,5,5.0,3.23,11.0
SUP_047,2024-01-10,alimentaire,8,8.0,3.01,2.0
SUP_049,2024-01-10,non_alimentaire,5,5.0,15.07,4.0
SUP_024,2024-01-10,logistique,14,14.0,7.4,17.0
SUP_023,2024-01-11,alimentaire,8,8.0,3.08,4.0
SUP_026,2024-01-11,alimentaire,4,4.0,2.75,5.0
SUP_007,2024-01-11,alimentaire,7,7.0,2.96,7.0
SUP_016,2024-01-11,non_alimentaire,18,18.0,14.92,8.0
SUP_050,2024-01-11,alimentaire,3,3.0,3.09,1.0
SUP_079,2024-01-11,non_alimentaire,20,20.0,15.58,8.0
SUP_021,2024-01-11,alimentaire,8,9.0,2.86,7.0
SUP_070,2024-01-11,alimentaire,10,16.0,2.84,8.0
SUP_047,2024-01-11,alimentaire,5,5.0,3.12,6.0
SUP_054,2024-01-11,alimentaire,5,5.0,2.97,8.0
SUP_005,2024-01-11,alimentaire,9,9.0,3.03,10.0
SUP_014,2024-01-11,non_alimentaire,6,6.0,15.72,13.0
SUP_044,2024-01-11,non_alimentaire,16,13.0,19.02,10.0
SUP_033,2024-01-11,alimentaire,7,7.0,3.1,10.0
SUP_043,2024-01-11,alimentaire,5,5.0,3.02,10.0
SUP_045,2024-01-11,non_alimentaire,6,7.0,16.36,9.0
SUP_052,2024-01-11,alimentaire,6,8.0,2.81,19.0
SUP_012,2024-01-11,logistique,5,8.0,6.48,23.0
SUP_007,2024-01-11,non_alimentaire,20,20.0,15.13,16.0
SUP_032,2024-01-11,non_alimentaire,14,14.0,14.74,
SUP_007,2024-01-11,non_alimentaire,17,17.0,15.1,2.0
SUP_053,2024-01-11,alimentaire,6,7.0,2.62,6.0
SUP_018,2024-01-11,non_alimentaire,9,9.0,14.57,5.0
SUP_026,2024-01-11,alimentaire,4,4.0,2.75,5.0
SUP_038,2024-01-11,non_alimentaire,16,16.0,15.91,7.0
SUP_033,2024-01-11,alimentaire,8,8.0,2.93,4.0
SUP_079,2024-01-11,alimentaire,4,4.0,2.95,4.0
SUP_041,2024-01-11,alimentaire,6,6.0,2.87,16.0
SUP_015,2024-01-11,alimentaire,8,10.0,3.07,10.0
SUP_017,2024-01-11,non_alimentaire,12,12.0,14.88,36.0
SUP_060,2024-01-12,alimentaire,6,6.0,2.92,17.0
SUP_018,2024-01-12,logistique,10,9.0,8.05,9.0
SUP_004,2024-01-12,non_alimentaire,13,13.0,14.43,37.0
SUP_054,2024-01-12,logistique,13,15.0,6.62,6.0
SUP_054,2024-01-12,alimentaire,4,4.0,3.25,10.0
SUP_045,2024-01-12,non_alimentaire,13,13.0,,7.0
SUP_067,2024-01-12,non_alimentaire,14,14.0,14.03,3.0
SUP_059,2024-01-12,non_alimentaire,20,20.0,14.28,8.0
SUP_059,2024-01-12,alimentaire,10,10.0,3.03,10.0
SUP_076,2024-01-12,non_alimentaire,10,14.0,13.63,23.0
SUP_061,2024-01-12,non_alimentaire,19,19.0,15.12,14.0
SUP_028,2024-01-12,non_alimentaire,13,14.0,14.95,7.0
SUP_020,2024-01-12,non_alimentaire,8,8.0,15.41,7.0
SUP_061,2024-01-12,logistique,3,4.0,7.42,4.0
SUP_039,2024-01-12,non_alimentaire,20,20.0,14.49,4.0
SUP_074,2024-01-12,alimentaire,5,2.0,2.87,7.0
SUP_012,2024-01-12,alimentaire,3,9.0,2.86,4.0
SUP_023,2024-01-12,alimentaire,10,10.0,3.02,14.0
SUP_028,2024-01-12,alimentaire,2,2.0,3.03,20.0
SUP_033,2024-01-12,non_alimentaire,18,18.0,15.3,8.0
SUP_018,2024-01-12,non_alimentaire,17,18.0,14.68,40.0
SUP_077,2024-01-12,non_alimentaire,18,20.0,14.89,6.0
SUP_016,2024-01-12,alimentaire,8,7.0,2.95,4.0
SUP_040,2024-01-12,alimentaire,6,6.0,3.07,13.0
SUP_049,2024-01-12,non_alimentaire,20,20.0,14.89,56.0
SUP_076,2024-01-12,non_alimentaire,8,8.0,15.59,11.0
SUP_072,2024-01-12,alimentaire,7,7.0,2.92,18.0
SUP_053,2024-01-12,non_alimentaire,12,12.0,13.4,20.0
SUP_064,2024-01-12,non_alimentaire,18,18.0,14.57,21.0
SUP_027,2024-01-13,logistique,11,8.0,,44.0
SUP_061,2024-01-13,logistique,8,9.0,7.91,30.0
SUP_012,2024-01-13,non_alimentaire,10,10.0,13.5,3.0
SUP_018,2024-01-13,logistique,14,12.0,7.37,75.0
SUP_058,2024-01-13,alimentaire,5,5.0,3.0,14.0
SUP_054,2024-01-13,logistique,4,10.0,7.08,24.0
SUP_001,2024-01-13,alimentaire,3,3.0,3.07,5.0
SUP_046,2024-01-13,logistique,7,7.0,7.88,11.0
SUP_045,2024-01-13,alimentaire,8,8.0,3.07,12.0
SUP_040,2024-01-13,non_alimentaire,18,19.0,14.74,3.0
SUP_010,2024-01-13,non_alimentaire,18,15.0,14.27,1.0
SUP_043,2024-01-13,logistique,8,8.0,8.02,9.0
SUP_012,2024-01-13,alimentaire,3,3.0,2.18,9.0
SUP_034,2024-01-13,non_alimentaire,12,12.0,10.61,12.0
SUP_075,2024-01-13,alimentaire,6,3.0,2.66,15.0
SUP_021,2024-01-13,non_alimentaire,7,7.0,15.65,9.0
SUP_036,2024-01-13,alimentaire,4,4.0,3.24,2.0
SUP_056,2024-01-13,alimentaire,9,12.0,3.45,5.0
SUP_060,2024-01-13,alimentaire,9,10.0,3.07,6.0
SUP_014,2024-01-13,alimentaire,10,10.0,2.97,
SUP_032,2024-01-13,logistique,5,5.0,7.92,12.0
SUP_031,2024-01-13,alimentaire,7,9.0,2.52,9.0
SUP_021,2024-01-13,non_alimentaire,18,18.0,15.63,6.0
SUP_077,2024-01-13,non_alimentaire,19,,16.79,7.0
SUP_017,2024-01-13,alimentaire,8,8.0,2.86,25.0
SUP_021,2024-01-13,alimentaire,5,5.0,,11.0
SUP_076,2024-01-13,alimentaire,5,5.0,3.05,31.0
SUP_043,2024-01-14,alimentaire,2,2.0,3.02,6.0
SUP_013,2024-01-14,alimentaire,8,9.0,2.65,9.0
SUP_060,2024-01-14,alimentaire,10,10.0,3.04,7.0
SUP_001,2024-01-14,alimentaire,7,7.0,2.93,7.0
SUP_050,2024-01-14,alimentaire,6,6.0,3.1,3.0
SUP_058,2024-01-14,alimentaire,2,2.0,3.06,10.0
SUP_042,2024-01-14,logistique,14,14.0,7.87,7.0
SUP_041,2024-01-14,non_alimentaire,8,8.0,15.78,7.0
SUP_010,2024-01-14,non_alimentaire,8,9.0,14.55,2.0
SUP_060,2024-01-14,non_alimentaire,13,13.0,14.64,22.0
SUP_061,2024-01-14,non_alimentaire,6,5.0,14.46,11.0
SUP_023,2024-01-14,alimentaire,4,4.0,2.92,11.0
SUP_061,2024-01-14,non_alimentaire,6,7.0,15.24,2.0
SUP_080,2024-01-14,alimentaire,3,3.0,3.08,4.0
SUP_076,2024-01-14,alimentaire,2,2.0,2.99,16.0
SUP_041,2024-01-14,non_alimentaire,16,13.0,14.61,3.0
SUP_061,2024-01-14,non_alimentaire,11,11.0,14.68,6.0
SUP_067,2024-01-14,alimentaire,4,4.0,3.13,12.0
SUP_019,2024-01-14,logistique,3,3.0,8.19,10.0
SUP_052,2024-01-14,alimentaire,5,5.0,3.04,6.0
SUP_009,2024-01-14,alimentaire,4,4.0,2.97,11.0
SUP_064,2024-01-14,alimentaire,4,4.0,2.99,15.0
SUP_018,2024-01-14,non_alimentaire,8,8.0,14.93,6.0
SUP_025,2024-01-14,non_alimentaire,15,15.0,15.29,9.0
SUP_016,2024-01-14,alimentaire,2,2.0,2.88,3.0
SUP_068,2024-01-14,alimentaire,5,3.0,2.8,11.0
SUP_074,2024-01-14,logistique,9,9.0,7.88,12.0
SUP_019,2024-01-15,logistique,6,6.0,8.34,8.0
SUP_071,2024-01-15,alimentaire,3,3.0,3.03,3.0
SUP_067,2024-01-15,logistique,3,3.0,8.08,43.0
SUP_035,2024-01-15,non_alimentaire,5,9.0,14.5,6.0
SUP_005,2024-01-15,alimentaire,2,2.0,3.03,6.0
SUP_020,2024-01-15,non_alimentaire,17,15.0,15.36,12.0
SUP_050,2024-01-15,non_alimentaire,11,10.0,14.88,11.0
SUP_024,2024-01-15,alimentaire,4,4.0,3.04,3.0
SUP_004,2024-01-15,non_alimentaire,5,5.0,14.9,11.0
SUP_072,2024-01-15,non_alimentaire,12,13.0,15.06,11.0
SUP_040,2024-01-15,alimentaire,10,10.0,2.95,4.0
SUP_069,2024-01-15,non_alimentaire,10,10.0,15.12,3.0
SUP_036,2024-01-15,alimentaire,8,8.0,2.71,8.0
SUP_061,2024-01-15,alimentaire,3,3.0,2.96,10.0
SUP_048,2024-01-15,non_alimentaire,15,15.0,14.64,37.0
